ref_id_side,route,count
23710653R,202X,8
23710773L,504X,4
23710773R,504X,4
23710780L,103X,1
23710780R,103X,5
23710818L,104X,10
23710818R,104X,11
23710819L,104X,8
23710819R,104X,5
23710820L,104X,9
23710820R,104X,8
23710821L,104X,8
23710821R,104X,7
23710822L,104X,9
23710822R,104X,9
23710823L,104X,6
23710823R,104X,3
23710868L,205X,2
23710870L,205X,1
23710870R,205X,7
23710871L,205X,1
23710871R,205X,8
23710874L,205X,3
23710874R,205X,4
23710875L,403X,15
23710875R,403X,16
23710933L,105X,3
23710933R,105X,4
23710934L,105X,4
23710934R,105X,2
23710935L,105X,4
23710935R,105X,6
23711010L,503X,1
23711037L,202X,21
23711090L,202X,5
23711090R,202X,1
23711103R,303X,1
23711119L,305X,1
23711119R,305X,5
23711120R,305X,2
23711122L,202X,6
23711122R,202X,6
23711207L,305X,10
23711207R,305X,16
23711351L,105X,2
23711351R,105X,3
23711509L,304X,3
23711509R,304X,2
23711615L,503X,8
23711616L,503X,4
23711792L,504X,3
23711792R,504X,4
23711924L,302X,2
23711925R,302X,1
23711931R,303X,9
23711932L,303X,2
23711932R,303X,13
23711933L,303X,4
23711933R,303X,3
23711992L,105X,2
23711992R,105X,2
23711995L,304X,3
23711995R,304X,3
23712332L,105X,2
23712332R,105X,2
23712363L,202X,1
23712363R,202X,1
23712440L,403X,3
23712440R,403X,4
23712606L,304X,5
23712606R,304X,10
23712776L,403X,13
23712776R,403X,9
23712777L,403X,6
23712777R,403X,6
23712822L,403X,11
23712822R,403X,7
23712826L,305X,13
23712826R,305X,13
23712941L,403X,1
23712946L,403X,4
23712946R,403X,3
23712948L,403X,3
23712948R,403X,1
23712950L,403X,4
23712950R,403X,5
23712951R,305X,12
23712952L,302X,8
23712952R,302X,8
23712953R,302X,2
23712954L,302X,21
23712954R,302X,31
23712959R,403X,5
23712960R,403X,5
23712988L,403X,7
23712988R,403X,8
23712989R,403X,4
23712990R,403X,5
23713017L,305X,8
23713017R,305X,9
23713018L,403X,2
23713018R,403X,4
23713038L,305X,1
23713039L,302X,7
23713039R,302X,8
